DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2021-Q2,40602.6,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2021-Q3,41321.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2021-Q4,41572.7,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2022-Q1,42113.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2022-Q2,41905.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2022-Q3,42399.4,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2022-Q4,42763.7,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2023-Q1,43063.9,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2023-Q2,43156.7,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2023-Q3,43108.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2023-Q4,43697.5,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2024-Q1,43797.6,p,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2024-Q2,44115.6,p,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2024-Q3,44473.2,p,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2024-Q4,45203.0,p,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2025-Q1,45228.4,p,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2025-Q2,45550.5,p,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2025-Q3,45999.2,p,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2025-Q4,46372.8,p,
